h1b.employer_name	no_of_applications	h1b.year
TATA CONSULTANCY SERVICES LIMITED	5416	2011
MICROSOFT CORPORATION	4253	2011
DELOITTE CONSULTING LLP	3621	2011
WIPRO LIMITED	3028	2011
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION	2721	2011
LARSEN & TOUBRO INFOTECH LIMITED	2105	2011
INTEL CORPORATION	1952	2011
IBM CORPORATION	1822	2011
HCL AMERICA, INC.	1699	2011
DELOITTE & TOUCHE LLP	1391	2011
INFOSYS LIMITED	15818	2012
WIPRO LIMITED	7182	2012
TATA CONSULTANCY SERVICES LIMITED	6735	2012
DELOITTE CONSULTING LLP	4727	2012
IBM INDIA PRIVATE LIMITED	4074	2012
MICROSOFT CORPORATION	4067	2012
ACCENTURE LLP	2619	2012
LARSEN & TOUBRO INFOTECH LIMITED	2339	2012
ERNST & YOUNG U.S. LLP	2314	2012
HCL AMERICA, INC.	2178	2012
INFOSYS LIMITED	32223	2013
TATA CONSULTANCY SERVICES LIMITED	8790	2013
WIPRO LIMITED	6734	2013
DELOITTE CONSULTING LLP	6124	2013
ACCENTURE LLP	4994	2013
MICROSOFT CORPORATION	3902	2013
IBM INDIA PRIVATE LIMITED	3593	2013
LARSEN & TOUBRO INFOTECH LIMITED	3136	2013
HCL AMERICA, INC.	3011	2013
ERNST & YOUNG U.S. LLP	2182	2013
INFOSYS LIMITED	23759	2014
TATA CONSULTANCY SERVICES LIMITED	14098	2014
WIPRO LIMITED	8365	2014
DELOITTE CONSULTING LLP	7017	2014
ACCENTURE LLP	5498	2014
IBM INDIA PRIVATE LIMITED	5029	2014
HCL AMERICA, INC.	4749	2014
LARSEN & TOUBRO INFOTECH LIMITED	3939	2014
MICROSOFT CORPORATION	3750	2014
ERNST & YOUNG U.S. LLP	3727	2014
INFOSYS LIMITED	33245	2015
TATA CONSULTANCY SERVICES LIMITED	16553	2015
WIPRO LIMITED	12201	2015
IBM INDIA PRIVATE LIMITED	10693	2015
ACCENTURE LLP	9605	2015
DELOITTE CONSULTING LLP	7607	2015
HCL AMERICA, INC.	6110	2015
MICROSOFT CORPORATION	4575	2015
IGATE TECHNOLOGIES INC.	4554	2015
ERNST & YOUNG U.S. LLP	4144	2015
INFOSYS LIMITED	25352	2016
CAPGEMINI AMERICA INC	16725	2016
TATA CONSULTANCY SERVICES LIMITED	13134	2016
WIPRO LIMITED	10607	2016
IBM INDIA PRIVATE LIMITED	9787	2016
ACCENTURE LLP	9477	2016
DELOITTE CONSULTING LLP	7646	2016
TECH MAHINDRA (AMERICAS),INC.	6746	2016
COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION	5370	2016
MICROSOFT CORPORATION	5029	2016
